freq,onoise_density,inoise_density
20.0,3.04688245e-06,1.15678443e-06
22.4403691,3.04442529e-06,1.15585155e-06
25.1785082,3.04223345e-06,1.15501939e-06
28.2507509,3.04027835e-06,1.15427711e-06
31.6978638,3.03853443e-06,1.15361502e-06
35.5655882,3.03697887e-06,1.15302443e-06
39.9052463,3.03559122e-06,1.15249759e-06
44.7744228,3.03435321e-06,1.15202757e-06
50.2377286,3.03324849e-06,1.15160815e-06
56.3676586,3.03226242e-06,1.15123378e-06
63.2455532,3.03138185e-06,1.15089947e-06
70.9626778,3.03059501e-06,1.15060074e-06
79.6214341,3.02989125e-06,1.15033356e-06
89.3367184,3.02926099e-06,1.15009429e-06
100.237447,3.02869552e-06,1.14987961e-06
112.468265,3.02818685e-06,1.1496865e-06
126.191469,3.02772764e-06,1.14951218e-06
141.589157,3.02731103e-06,1.14935403e-06
158.865647,3.02693051e-06,1.14920959e-06
178.250188,3.02657979e-06,1.14907647e-06
200.0,3.02625265e-06,1.14895231e-06
224.403691,3.02594276e-06,1.14883472e-06
251.785082,3.02564352e-06,1.14872119e-06
282.507509,3.02534782e-06,1.14860902e-06
316.978638,3.02504778e-06,1.14849522e-06
355.655882,3.02473443e-06,1.1483764e-06
399.052463,3.02439734e-06,1.14824861e-06
447.744228,3.02402417e-06,1.14810716e-06
502.377286,3.02360003e-06,1.14794643e-06
563.676586,3.02310685e-06,1.14775956e-06
632.455532,3.0225224e-06,1.14753814e-06
709.626778,3.02181927e-06,1.14727178e-06
796.214341,3.02096343e-06,1.14694759e-06
893.367184,3.01991255e-06,1.14654955e-06
1002.37447,3.01861388e-06,1.14605767e-06
1124.68265,3.01700163e-06,1.14544704e-06
1261.91469,3.01499372e-06,1.14468658e-06
1415.89157,3.01248786e-06,1.14373754e-06
1588.65647,3.00935667e-06,1.14255169e-06
1782.50188,3.00544189e-06,1.14106909e-06
2000.0,3.00054746e-06,1.1392155e-06
2244.03691,2.99443132e-06,1.13689925e-06
2517.85082,2.98679612e-06,1.13400775e-06
2825.07509,2.97727877e-06,1.1304035e-06
3169.78638,2.96543947e-06,1.12591997e-06
3556.55882,2.95075071e-06,1.12035745e-06
3990.52463,2.93258796e-06,1.11347946e-06
4477.44228,2.91022374e-06,1.10501063e-06
5023.77286,2.88282852e-06,1.09463695e-06
5636.76586,2.8494821e-06,1.08201019e-06
6324.55532,2.80920059e-06,1.06675808e-06
7096.26778,2.76098365e-06,1.04850232e-06
7962.14341,2.70388588e-06,1.02688563e-06
8933.67184,2.63711258e-06,1.00160808e-06
10023.7447,2.56013453e-06,9.72470703e-07
11246.8265,2.47280865e-06,9.39421192e-07
12619.1469,2.37548363e-06,9.0259404e-07
14158.9157,2.26906524e-06,8.62335322e-07
15886.5647,2.15501872e-06,8.19203641e-07
17825.0188,2.03529657e-06,7.73942804e-07
20000.0,1.9121975e-06,7.27428435e-07
