vx,vy,v_out,ideal,err
-1.0,0.1,2.69393061,2.670464534165488,0.02346607583451199
-0.95,0.1,2.71273155,2.6893261164485467,0.023405433551453303
-0.9,0.1,2.73249415,2.7091547527346447,0.023339397265355277
-0.85,0.1,2.75326752,2.7300000249427723,0.023267495057227805
-0.8,0.1,2.7751033,2.751914057111267,0.02318924288873303
-0.75,0.1,2.79805574,2.7749516457350603,0.023104094264939867
-0.7,0.1,2.82218188,2.799170396785455,0.02301148321454516
-0.65,0.1,2.84754164,2.8246308697550617,0.022910770244938483
-0.6,0.1,2.874198,2.851396729088072,0.02280127091192785
-0.55,0.1,2.90221715,2.879534903374532,0.022682246625467695
-0.5,0.1,2.93166865,2.909115752706679,0.022552897293321106
-0.45,0.1,2.96262559,2.9402132446158187,0.022412345384181354
-0.4,0.1,2.99516478,2.9729051390296846,0.02225964097031552
-0.35,0.1,3.02936694,3.007273182712759,0.022093757287241278
-0.3,0.1,3.0653169,3.0434033136757632,0.02191358632423679
-0.25,0.1,3.10310378,3.0813858760654504,0.021717903934549643
-0.2,0.1,3.14282125,3.121315846072027,0.021505403927972733
-0.15,0.1,3.18456771,3.1632930694191033,0.021274640580896786
-0.1,0.1,3.22844658,3.207422511030005,0.021024068969994758
-0.05,0.1,3.27456652,3.2538145174947593,0.020752002505240785
2.91433544e-16,0.1,3.3230417,3.302585092994046,0.020456607005954197
0.05,0.1,3.37399207,3.3538561893700694,0.020135880629930547
0.1,0.1,3.42754367,3.407756011069693,0.019787658930306762
0.15,0.1,3.48382891,3.4644193357223285,0.01940957427767165
0.2,0.1,3.54298692,3.5239878511542155,0.018999068845784617
0.25,0.1,3.60516386,3.586610509681787,0.01855335031821337
0.3,0.1,3.67051328,3.6524439005700486,0.01806937942995157
0.35,0.1,3.7391965,3.7216526415873026,0.017543858412697233
0.4,0.1,3.81138299,3.794409790635316,0.016973199364684
0.45,0.1,3.88725074,3.870897278484214,0.01635346151578565
0.5,0.1,3.96698678,3.9513063636941737,0.015680416305826395
0.55,0.1,4.05078751,4.035838110861441,0.014949399138559194
0.6,0.1,4.13885926,4.124703893384554,0.014155366615446141
0.65,0.1,4.23141874,4.218125922007942,0.013292817992057948
0.7,0.1,4.32869356,4.316337800464522,0.012355759535477517
0.75,0.1,4.43092277,4.41958510960672,0.01133766039327977
0.8,0.1,4.53835742,4.528126021486513,0.010231398513486312
0.85,0.1,4.65126116,4.642231944920036,0.00902921507996357
0.9,0.1,4.76991086,4.762188204150995,0.007722655849005555
0.95,0.1,4.89459725,4.888294752309891,0.0063024976901093765
1.0,0.1,5.02562562,5.0208669214530905,0.004758698546909024
-1.0,0.2,1.99319554,1.9773173536055426,0.015878186394457483
-0.95,0.2,2.01199649,1.9961789358886015,0.015817554111398513
-0.9,0.2,2.03175908,2.0160075721746993,0.01575150782530077
-0.85,0.2,2.05253246,2.036852844382827,0.015679615617173237
-0.8,0.2,2.07436823,2.0587668765513216,0.015601353448678523
-0.75,0.2,2.09732068,2.081804465175115,0.0155162148248853
-0.7,0.2,2.12144681,2.10602321622551,0.015423593774490207
-0.65,0.2,2.14680657,2.1314836891951163,0.015322880804883532
-0.6,0.2,2.17346293,2.1582495485281266,0.015213381471873344
-0.55,0.2,2.20148208,2.1863877228145867,0.015094357185413187
-0.5,0.2,2.23093358,2.2159685721467337,0.014965007853266155
-0.45,0.2,2.26189052,2.2470660640558737,0.014824455944126402
-0.4,0.2,2.29442971,2.2797579584697396,0.014671751530260568
-0.35,0.2,2.32863188,2.314126002152814,0.014505877847186266
-0.3,0.2,2.36458183,2.3502561331158183,0.014325696884181838
-0.25,0.2,2.40236871,2.388238695505505,0.014130014494495136
-0.2,0.2,2.44208618,2.428168665512082,0.013917514487917781
-0.15,0.2,2.48383264,2.4701458888591583,0.013686751140841835
-0.1,0.2,2.52771152,2.51427533047006,0.01343618952994019
-0.05,0.2,2.57383146,2.5606673369348143,0.013164123065185773
2.91433544e-16,0.2,2.62230664,2.6094379124341005,0.01286872756589963
0.05,0.2,2.673257,2.6607090088101244,0.012547991189875596
0.1,0.2,2.7268086,2.714608830509748,0.01219976949025181
0.15,0.2,2.78309384,2.771272155162383,0.011821684837616697
0.2,0.2,2.84225185,2.83084067059427,0.011411179405729666
0.25,0.2,2.90442879,2.8934633291218415,0.010965460878158417
0.3,0.2,2.96977822,2.9592967200101032,0.010481499989896559
0.35,0.2,3.03846144,3.0285054610273576,0.009955978972642221
0.4,0.2,3.11064792,3.101262610075371,0.009385309924629048
0.45,0.2,3.18651568,3.177750097924269,0.008765582075730638
0.5,0.2,3.26625171,3.2581591831342287,0.008092526865771443
0.55,0.2,3.35005244,3.3426909303014956,0.007361509698504243
0.6,0.2,3.4381242,3.431556712824609,0.006567487175390685
0.65,0.2,3.53068368,3.5249787414479963,0.005704938552003824
0.7,0.2,3.6279585,3.6231906199045767,0.0047678800954233935
0.75,0.2,3.73018771,3.7264379290467753,0.0037497809532247572
0.8,0.2,3.83762235,3.834978840926568,0.0026435090734322486
0.85,0.2,3.95052609,3.949084764360091,0.0014413256399090635
0.9,0.2,4.06917579,4.06904102359105,0.0001347664089497158
