freq,onoise_density,inoise_density
20.0,1.07014376e-06,1.07677056e-06
22.4403691,1.0692802e-06,1.07590165e-06
25.1785082,1.06850987e-06,1.07512656e-06
28.2507509,1.06782275e-06,1.07443518e-06
31.6978638,1.06720985e-06,1.07381849e-06
35.5655882,1.06666314e-06,1.0732684e-06
39.9052463,1.06617545e-06,1.07277768e-06
44.7744228,1.06574034e-06,1.07233988e-06
50.2377286,1.06535208e-06,1.07194922e-06
56.3676586,1.06500551e-06,1.07160051e-06
63.2455532,1.06469603e-06,1.0712891e-06
70.9626778,1.06441947e-06,1.07101084e-06
79.6214341,1.06417211e-06,1.07076195e-06
89.3367184,1.06395058e-06,1.07053905e-06
100.237447,1.0637518e-06,1.07033905e-06
112.468265,1.06357298e-06,1.07015913e-06
126.191469,1.06341153e-06,1.06999669e-06
141.589157,1.06326504e-06,1.06984931e-06
158.865647,1.06313121e-06,1.06971466e-06
178.250188,1.06300783e-06,1.06959054e-06
200.0,1.0628927e-06,1.06947472e-06
224.403691,1.0627836e-06,1.06936498e-06
251.785082,1.06267819e-06,1.06925895e-06
282.507509,1.06257397e-06,1.06915413e-06
316.978638,1.06246813e-06,1.0690477e-06
355.655882,1.06235752e-06,1.06893649e-06
399.052463,1.06223845e-06,1.06881677e-06
447.744228,1.06210654e-06,1.06868417e-06
502.377286,1.06195651e-06,1.06853337e-06
563.676586,1.06178198e-06,1.06835795e-06
632.455532,1.06157505e-06,1.06814999e-06
709.626778,1.06132603e-06,1.06789973e-06
796.214341,1.06102284e-06,1.06759505e-06
893.367184,1.06065048e-06,1.06722088e-06
1002.37447,1.06019025e-06,1.06675842e-06
1124.68265,1.05961884e-06,1.06618424e-06
1261.91469,1.05890714e-06,1.06546911e-06
1415.89157,1.05801888e-06,1.06457658e-06
1588.65647,1.05690892e-06,1.06346128e-06
1782.50188,1.05552113e-06,1.06206683e-06
2000.0,1.05378599e-06,1.06032337e-06
2244.03691,1.05161767e-06,1.05814467e-06
2517.85082,1.04891073e-06,1.05542478e-06
2825.07509,1.04553638e-06,1.05203431e-06
3169.78638,1.04133863e-06,1.04781653e-06
3556.55882,1.03613033e-06,1.04258343e-06
3990.52463,1.02968987e-06,1.03611236e-06
4477.44228,1.02175903e-06,1.02814392e-06
5023.77286,1.01204325e-06,1.01838222e-06
5636.76586,1.00021559e-06,1.00649889e-06
6324.55532,9.85926191e-07,9.92142567e-07
7096.26778,9.68818913e-07,9.74955677e-07
7962.14341,9.48556459e-07,9.5459969e-07
8933.67184,9.24854169e-07,9.30789115e-07
10023.7447,8.97520525e-07,9.03332243e-07
11246.8265,8.66499781e-07,8.7217402e-07
12619.1469,8.31909333e-07,8.37433633e-07
14158.9157,7.94062934e-07,7.99427868e-07
15886.5647,7.53471746e-07,7.58672184e-07
17825.0188,7.10819137e-07,7.15855394e-07
20000.0,6.66911263e-07,6.71790012e-07
