t,v_out
0.0,0.996436093
5e-10,0.996436093
1e-09,0.996436093
2e-09,0.996436093
4e-09,0.996436093
8e-09,0.996436093
1.6e-08,0.996436093
3.2e-08,0.996436093
6.4e-08,0.996436093
1.14e-07,0.996436093
1.64e-07,0.996436093
2.14e-07,0.996436093
2.64e-07,0.996436093
3.14e-07,0.996436093
3.64e-07,0.996436093
4.14e-07,0.996436093
4.64e-07,0.996436093
5.14e-07,0.996436093
5.64e-07,0.996436093
6.14e-07,0.996436093
6.64e-07,0.996436093
7.14e-07,0.996436093
7.64e-07,0.996436093
8.14e-07,0.996436093
8.64e-07,0.996436093
9.14e-07,0.996436093
9.64e-07,0.996436093
1e-06,0.996436093
1.001e-06,0.99643609
1.003e-06,0.996436069
1.007e-06,0.996435834
1.01e-06,0.996435401
1.01037763e-06,0.996435325
1.0111329e-06,0.996435164
1.01264344e-06,0.996434804
1.01566452e-06,0.996434038
1.02170667e-06,0.996433375
1.03379097e-06,0.996443982
1.05795957e-06,0.996576327
1.10629677e-06,0.997724799
1.15629677e-06,1.00078535
1.20629677e-06,1.00642067
1.25629677e-06,1.01509195
1.30629677e-06,1.02706798
1.35629677e-06,1.04245473
1.40629677e-06,1.0612219
1.45629677e-06,1.08322652
1.50629677e-06,1.10823378
1.55629677e-06,1.13593541
1.60629677e-06,1.16596601
1.65629677e-06,1.19791768
1.70629677e-06,1.23135333
1.75629677e-06,1.26581909
1.80629677e-06,1.30085576
1.85629677e-06,1.3360096
1.90629677e-06,1.37084213
1.95629677e-06,1.40493911
2.00629677e-06,1.43791841
2.05629677e-06,1.46943672
2.10629677e-06,1.49919487
2.15629677e-06,1.52694187
2.20629677e-06,1.55247739
2.25629677e-06,1.57565281
2.30629677e-06,1.59637096
2.35629677e-06,1.61458442
2.40629677e-06,1.63029282
2.45629677e-06,1.64353909
2.50629677e-06,1.65440495
2.55629677e-06,1.66300582
2.60629677e-06,1.66948542
2.65629677e-06,1.67401012
2.70629677e-06,1.67676337
2.75629677e-06,1.67794029
2.80629677e-06,1.67774246
2.85629677e-06,1.6763733
2.90629677e-06,1.67403373
2.95629677e-06,1.67091848
3.00629677e-06,1.66721294
3.05629677e-06,1.66309057
3.10629677e-06,1.65871083
3.15629677e-06,1.65421772
3.20629677e-06,1.64973877
3.25629677e-06,1.64538452
3.30629677e-06,1.64124835
3.35629677e-06,1.63740675
3.40629677e-06,1.63391987
3.45629677e-06,1.63083231
3.50629677e-06,1.62817413
3.55629677e-06,1.62596206
3.60629677e-06,1.62420077
3.65629677e-06,1.62288427
3.70629677e-06,1.6219973
3.75629677e-06,1.62151684
3.80629677e-06,1.62141346
3.85629677e-06,1.62165273
3.90629677e-06,1.62219653
3.95629677e-06,1.62300432
4.00629677e-06,1.62403424
4.05629677e-06,1.62524417
4.10629677e-06,1.62659264
4.15629677e-06,1.62803968
4.20629677e-06,1.62954743
4.25629677e-06,1.63108079
4.30629677e-06,1.63260778
4.35629677e-06,1.63409993
4.40629677e-06,1.63553245
4.45629677e-06,1.63688441
4.50629677e-06,1.63813867
4.55629677e-06,1.63928192
4.60629677e-06,1.64030447
4.65629677e-06,1.6412001
4.70629677e-06,1.64196579
4.75629677e-06,1.64260144
4.80629677e-06,1.64310958
4.85629677e-06,1.64349496
4.90629677e-06,1.6437643
4.95629677e-06,1.64392587
5.00629677e-06,1.64398916
5.05629677e-06,1.6439646
5.10629677e-06,1.64386315
5.15629677e-06,1.64369613
5.20629677e-06,1.64347486
5.25629677e-06,1.64321045
5.30629677e-06,1.64291365
5.35629677e-06,1.64259458
5.40629677e-06,1.64226269
5.45629677e-06,1.64192656
5.50629677e-06,1.64159389
5.55629677e-06,1.64127139
5.60629677e-06,1.64096479
5.65629677e-06,1.64067884
5.70629677e-06,1.64041727
5.75629677e-06,1.6401829
5.80629677e-06,1.63997765
5.85629677e-06,1.6398026
5.90629677e-06,1.63965807
5.95629677e-06,1.63954371
6.00629677e-06,1.63945857
6.05629677e-06,1.63940121
6.10629677e-06,1.63936975
6.15629677e-06,1.63936199
6.20629677e-06,1.63937547
6.25629677e-06,1.6394076
6.30629677e-06,1.63945564
6.35629677e-06,1.63951687
6.40629677e-06,1.63958857
6.45629677e-06,1.63966812
6.50629677e-06,1.63975304
6.55629677e-06,1.63984098
6.60629677e-06,1.63992984
6.65629677e-06,1.64001769
6.70629677e-06,1.64010286
6.75629677e-06,1.64018392
6.80629677e-06,1.64025968
6.85629677e-06,1.64032919
6.90629677e-06,1.64039174
6.95629677e-06,1.64044684
7.00629677e-06,1.6404942
7.05629677e-06,1.64053374
7.10629677e-06,1.64056554
7.15629677e-06,1.64058982
7.20629677e-06,1.64060693
7.25629677e-06,1.64061736
7.30629677e-06,1.64062164
7.35629677e-06,1.64062039
7.40629677e-06,1.64061426
7.45629677e-06,1.64060394
7.50629677e-06,1.64059013
7.55629677e-06,1.6405735
7.60629677e-06,1.64055473
7.65629677e-06,1.64053445
7.70629677e-06,1.64051325
7.75629677e-06,1.64049168
7.80629677e-06,1.64047023
