freq,mag_db
1.0,-0.06838760590163367
1.12201845,-0.0683876058029273
1.25892541,-0.06838760567866252
1.41253754,-0.06838760552222134
1.58489319,-0.06838760532527512
1.77827941,-0.06838760507733262
1.99526231,-0.0683876047651938
2.23872114,-0.06838760437223344
2.51188643,-0.06838760387752646
2.81838293,-0.0683876032547252
3.16227766,-0.06838760247066482
3.54813389,-0.06838760148359323
3.98107171,-0.06838760899548947
4.46683592,-0.0683876074310864
5.01187234,-0.06838760546161929
5.62341325,-0.06838760298220599
6.30957344,-0.06838760861535886
7.07945784,-0.06838761344030034
7.94328235,-0.06838760849322169
8.91250938,-0.06838761101976581
10.0,-0.06838761193372246
11.2201845,-0.06838761957209466
12.5892541,-0.06838762465469038
14.1253754,-0.06838762651974771
15.8489319,-0.06838763308871348
17.7827941,-0.06838764331277303
19.9526231,-0.06838764711700569
22.3872114,-0.06838766034824545
25.1188643,-0.06838767215928747
28.1838293,-0.06838769742472807
31.6227766,-0.06838771531883095
35.4813389,-0.06838774792984309
39.8107171,-0.06838778124670099
44.6683592,-0.0683878261609297
50.1187234,-0.06838789185060964
56.2341325,-0.06838795907306987
63.0957344,-0.06838804964272192
70.7945784,-0.06838817320065495
79.4328235,-0.06838831757486465
89.1250938,-0.06838850019311878
100.0,-0.0683887316618059
112.201845,-0.06838902275426731
125.892541,-0.06838939969648043
141.253754,-0.06838985759475795
158.489319,-0.06839044445732248
177.827941,-0.06839117796738145
199.526231,-0.06839210117859854
223.872114,-0.06839326673037105
251.188643,-0.06839473675032579
281.838293,-0.0683965804642497
316.227766,-0.06839891269545138
354.813389,-0.06840184118579846
398.107171,-0.06840552315087833
446.683592,-0.06841016355608782
501.187234,-0.06841600614210641
562.341325,-0.06842335910455509
630.957344,-0.06843261804166495
707.945784,-0.06844427444871605
794.328235,-0.06845894103755955
891.250938,-0.06847741542773556
1000.0,-0.06850067124402368
1122.01845,-0.06852994424765474
1258.92541,-0.06856679904659378
1412.53754,-0.06861319967364285
1584.89319,-0.06867160409155652
1778.27941,-0.06874514283640826
1995.26231,-0.06883771825300457
2238.72114,-0.06895425738382965
2511.88643,-0.06910097656952977
2818.38293,-0.0692856810787961
3162.27766,-0.06951819904284126
3548.13389,-0.06981092941724756
3981.07171,-0.0701794291936931
4466.83592,-0.070643337734972
5011.87234,-0.0712273281850833
5623.41325,-0.071962495600179
6309.57344,-0.07288794288250368
7079.45784,-0.07405290513836965
7943.28235,-0.0755193398379147
8912.50938,-0.07736520326727567
10000.0,-0.07968858351473423
11220.1845,-0.08261288508220549
12589.2541,-0.08629330439201757
14125.3754,-0.09092499676845064
15848.9319,-0.09675329381802662
17782.7941,-0.10408648300150229
19952.6231,-0.11331176521039744
22387.2114,-0.12491518793605098
25118.8643,-0.13950638536456647
28183.8293,-0.1578492973338403
31622.7766,-0.18090012991248958
35481.3389,-0.2098538444212099
39810.7171,-0.24620112650565917
44668.3592,-0.29179706639195424
50118.7234,-0.34894358170448847
56234.1325,-0.4204864973183841
63095.7344,-0.509928048334565
70794.5784,-0.6215537085886969
79432.8235,-0.7605704829008526
89125.0938,-0.9332498507563453
100000.0,-1.1470644702483626
112201.845,-1.4108012684274804
125892.541,-1.7346276205031952
141253.754,-2.1300810572860867
158489.319,-2.609951050566162
177827.941,-3.1880248758400285
199526.231,-3.8786839715262267
223872.114,-4.696361059751556
251188.643,-5.654901287555943
281838.293,-6.766901141896902
316227.766,-8.043116374223347
354813.389,-9.492022128867184
398107.171,-11.119573687243637
446683.592,-12.929166564481854
501187.234,-14.921748746776885
562341.325,-17.09601524426756
630957.344,-19.448619683097323
707945.784,-21.97436404627116
794328.235,-24.666357954869525
891250.938,-27.516164941017514
1000000.0,-30.513964353393256
1122018.45,-33.648758254459246
1258925.41,-36.908640551996676
1412537.54,-40.281127797832006
1584893.19,-43.75353197158546
1778279.41,-47.31333890919017
1995262.31,-50.94855365759547
2238721.14,-54.64797882066201
2511886.43,-58.401406638172176
2818382.93,-62.19972103407656
3162277.66,-66.03491859133143
3548133.89,-69.90006515277987
3981071.71,-73.7892070382465
4466835.92,-77.69725430889996
5011872.34,-81.61985023071003
5623413.25,-85.55323699757187
6309573.44,-89.49412415602971
7079457.84,-93.43956327424665
7943282.35,-97.38683042253845
8912509.38,-101.33331716002795
10000000.0,-105.27643097339025
11220184.5,-109.2135059346235
12589254.1,-113.14172706349764
14125375.4,-117.05807341922778
15848931.9,-120.95928837243987
17782794.1,-124.84188805324187
19952623.1,-128.7022223604152
22387211.4,-132.53660251951825
25118864.3,-136.3415062910471
28183829.3,-140.11386324519674
31622776.6,-143.85140641006558
35481338.9,-147.55305772067373
39810717.1,-151.21929293788077
44668359.2,-154.8524194265101
50118723.4,-158.45670059792346
56234132.5,-162.03827847987154
63095734.4,-165.6048794475679
70794578.4,-169.16532426869136
79432823.5,-172.72889937314855
89125093.8,-176.30466855097177
100000000.0,-179.9008142542985
