vx,vy,v_out,ideal,err
-1.0,0.1,2.69992064,2.670464534165488,0.029456105834512414
-0.95,0.1,2.71895876,2.6893261164485467,0.02963264355145334
-0.9,0.1,2.73896225,2.7091547527346447,0.029807497265355476
-0.85,0.1,2.75997951,2.7300000249427723,0.029979485057227695
-0.8,0.1,2.78206126,2.751914057111267,0.03014720288873285
-0.75,0.1,2.80526072,2.7749516457350603,0.030309074264939895
-0.7,0.1,2.82963369,2.799170396785455,0.030463293214545217
-0.65,0.1,2.85523868,2.8246308697550617,0.030607810244938083
-0.6,0.1,2.88213702,2.851396729088072,0.030740290911928092
-0.55,0.1,2.91039299,2.879534903374532,0.030858086625467962
-0.5,0.1,2.94007399,2.909115752706679,0.030958237293321034
-0.45,0.1,2.9712506,2.9402132446158187,0.031037355384181176
-0.4,0.1,3.00399679,2.9729051390296846,0.03109165097031541
-0.35,0.1,3.03839006,3.007273182712759,0.031116877287240996
-0.3,0.1,3.07451154,3.0434033136757632,0.03110822632423682
-0.25,0.1,3.11244621,3.0813858760654504,0.031060333934549433
-0.2,0.1,3.15228301,3.121315846072027,0.03096716392797294
-0.15,0.1,3.19411507,3.1632930694191033,0.03082200058089679
-0.1,0.1,3.23803979,3.207422511030005,0.030617278969995
-0.05,0.1,3.28415911,3.2538145174947593,0.030344592505240797
2.91433544e-16,0.1,3.33257964,3.302585092994046,0.029994547005954164
0.05,0.1,3.38341284,3.3538561893700694,0.029556650629930736
0.1,0.1,3.43677524,3.407756011069693,0.029019228930306618
0.15,0.1,3.4927886,3.4644193357223285,0.02836926427767139
0.2,0.1,3.55158015,3.5239878511542155,0.027592298845784402
0.25,0.1,3.61328275,3.586610509681787,0.02667224031821336
0.3,0.1,3.67803509,3.6524439005700486,0.0255911894299512
0.35,0.1,3.74598195,3.7216526415873026,0.024329308412697426
0.4,0.1,3.81727432,3.794409790635316,0.022864529364684305
0.45,0.1,3.8920697,3.870897278484214,0.0211724215157858
0.5,0.1,3.97053223,3.9513063636941737,0.019225866305826234
0.55,0.1,4.05283295,4.035838110861441,0.016994839138559037
0.6,0.1,4.13914996,4.124703893384554,0.014446066615446007
0.65,0.1,4.22966865,4.218125922007942,0.011542727992058133
0.7,0.1,4.3245819,4.316337800464522,0.008244099535478
0.75,0.1,4.42409025,4.41958510960672,0.004505140393280094
0.8,0.1,4.52840208,4.528126021486513,0.0002760585134868876
0.85,0.1,4.63773382,4.642231944920036,-0.004498124920035984
0.9,0.1,4.75231004,4.762188204150995,-0.009878164150994628
0.95,0.1,4.8723637,4.888294752309891,-0.01593105230989078
1.0,0.1,4.99813619,5.0208669214530905,-0.022730731453090236
-1.0,0.2,1.99918558,1.9773173536055426,0.021868226394457402
-0.95,0.2,2.01822369,1.9961789358886015,0.022044754111398612
-0.9,0.2,2.03822719,2.0160075721746993,0.022219617825300908
-0.85,0.2,2.05924444,2.036852844382827,0.022391595617173188
-0.8,0.2,2.08132619,2.0587668765513216,0.022559313448678342
-0.75,0.2,2.10452565,2.081804465175115,0.022721184824884944
-0.7,0.2,2.12889862,2.10602321622551,0.022875403774490266
-0.65,0.2,2.15450361,2.1314836891951163,0.023019920804883576
-0.6,0.2,2.18140195,2.1582495485281266,0.023152401471873585
-0.55,0.2,2.20965793,2.1863877228145867,0.023270207185413394
-0.5,0.2,2.23933892,2.2159685721467337,0.023370347853266082
-0.45,0.2,2.27051553,2.2470660640558737,0.023449465944126224
-0.4,0.2,2.30326173,2.2797579584697396,0.023503771530260398
-0.35,0.2,2.33765499,2.314126002152814,0.023528987847186045
-0.3,0.2,2.37377647,2.3502561331158183,0.02352033688418187
-0.25,0.2,2.41171114,2.388238695505505,0.023472444494494926
-0.2,0.2,2.45154795,2.428168665512082,0.02337928448791793
-0.15,0.2,2.49338,2.4701458888591583,0.02323411114084184
-0.1,0.2,2.53730472,2.51427533047006,0.023029389529940048
-0.05,0.2,2.58342405,2.5606673369348143,0.022756713065185785
2.91433544e-16,0.2,2.63184457,2.6094379124341005,0.022406657565899657
0.05,0.2,2.68267777,2.6607090088101244,0.021968761189875785
0.1,0.2,2.73604017,2.714608830509748,0.021431339490251666
0.15,0.2,2.79205354,2.771272155162383,0.020781384837616823
0.2,0.2,2.85084509,2.83084067059427,0.020004419405729834
0.25,0.2,2.91254768,2.8934633291218415,0.019084350878158407
0.3,0.2,2.97730003,2.9592967200101032,0.018003309989896632
0.35,0.2,3.04524688,3.0285054610273576,0.016741418972642474
0.4,0.2,3.11653926,3.101262610075371,0.015276649924629293
0.45,0.2,3.19133463,3.177750097924269,0.013584532075730849
0.5,0.2,3.26979717,3.2581591831342287,0.011637986865771222
0.55,0.2,3.35209788,3.3426909303014956,0.00940694969850453
0.6,0.2,3.43841489,3.431556712824609,0.006858177175390612
0.65,0.2,3.52893359,3.5249787414479963,0.003954848552003565
0.7,0.2,3.62384684,3.6231906199045767,0.0006562200954234321
0.75,0.2,3.72335519,3.7264379290467753,-0.0030827390467753624
0.8,0.2,3.82766702,3.834978840926568,-0.0073118209265681244
0.85,0.2,3.93699875,3.949084764360091,-0.012086014360090935
0.9,0.2,4.05157498,4.06904102359105,-0.01746604359105053
0.95,0.2,4.17162864,4.1951475717499465,-0.02351893174994668
1.0,0.2,4.29740112,4.327719740893145,-0.030318620893145187
-1.0,0.3,1.58944321,1.5718522454973785,0.017590964502621542
-0.95,0.3,1.60848132,1.5907138277804374,0.017767492219562753
-0.9,0.3,1.62848482,1.6105424640665351,0.017942355933464826
-0.85,0.3,1.64950207,1.6313877362746627,0.018114333725337328
-0.8,0.3,1.67158382,1.6533017684431577,0.01828205155684226
-0.75,0.3,1.69478328,1.6763393570669507,0.018443922933049306
-0.7,0.3,1.71915626,1.7005581081173458,0.018598151882654346
-0.65,0.3,1.74476124,1.7260185810869522,0.018742658913047938
-0.6,0.3,1.77165958,1.7527844404199624,0.018875139580037503
-0.55,0.3,1.79991556,1.7809226147064228,0.018992945293577312
-0.5,0.3,1.82959655,1.8105034640385695,0.019093085961430445
-0.45,0.3,1.86077316,1.8416009559477096,0.019172204052290365
-0.4,0.3,1.89351936,1.8742928503615754,0.019226509638424538
-0.35,0.3,1.92791262,1.9086608940446497,0.019251725955350407
-0.3,0.3,1.96403411,1.944791025007654,0.01924308499234595
-0.25,0.3,2.00196877,1.9827735873973409,0.019195182602659067
-0.2,0.3,2.04180558,2.022703557403918,0.01910202259608207
-0.15,0.3,2.08363763,2.0646807807509937,0.018956849249006424
-0.1,0.3,2.12756235,2.1088102223618956,0.018752127638104188
-0.05,0.3,2.17368168,2.15520222882665,0.018479451173349926
2.91433544e-16,0.3,2.2221022,2.2039728043259363,0.018129395674063797
0.05,0.3,2.2729354,2.2552439007019602,0.017691499298039925
0.1,0.3,2.3262978,2.3091437224015836,0.01715407759841625
0.15,0.3,2.38231117,2.3658070470542194,0.01650412294578052
0.2,0.3,2.44110272,2.425375562486106,0.015727157513893975
0.25,0.3,2.50280531,2.4879982210136777,0.014807088986322103
0.3,0.3,2.56755766,2.5538316119019395,0.013726048098060328
0.35,0.3,2.63550451,2.623040352919193,0.012464157080807059
0.4,0.3,2.70679689,2.6957975019672062,0.010999388032793878
0.45,0.3,2.78159226,2.7722849898161046,0.009307270183895433
0.5,0.3,2.8600548,2.852694075026064,0.007360724973935806
0.55,0.3,2.94235551,2.9372258221933314,0.00512968780666867
0.6,0.3,3.02867252,3.026091604716445,0.0025809152835551963
0.65,0.3,3.11919122,3.1195136333398326,-0.0003224133398327389
0.7,0.3,3.21410447,3.217725511796413,-0.0036210417964128716
0.75,0.3,3.31361282,3.3209728209386107,-0.007360000938610778
0.8,0.3,3.41792465,3.429513732818404,-0.011589082818404428
0.85,0.3,3.52725638,3.543619656251927,-0.01636327625192724
0.9,0.3,3.64183261,3.6635759154828857,-0.021743305482885944
0.95,0.3,3.76188627,3.789682463641782,-0.027796193641781652
