freq,onoise_density,inoise_density
20.0,1.07014719e-06,1.07860617e-06
22.4403691,1.06928425e-06,1.0777364e-06
25.1785082,1.06851448e-06,1.07696055e-06
28.2507509,1.06782785e-06,1.0762685e-06
31.6978638,1.06721539e-06,1.0756512e-06
35.5655882,1.06666908e-06,1.07510057e-06
39.9052463,1.06618174e-06,1.07460938e-06
44.7744228,1.06574695e-06,1.07417116e-06
50.2377286,1.06535896e-06,1.07378012e-06
56.3676586,1.06501264e-06,1.07343107e-06
63.2455532,1.06470338e-06,1.07311937e-06
70.9626778,1.06442702e-06,1.07284084e-06
79.6214341,1.06417984e-06,1.07259173e-06
89.3367184,1.06395846e-06,1.07236862e-06
100.237447,1.06375983e-06,1.07216845e-06
112.468265,1.06358113e-06,1.07198837e-06
126.191469,1.06341979e-06,1.07182581e-06
141.589157,1.0632734e-06,1.07167831e-06
158.865647,1.06313965e-06,1.07154358e-06
178.250188,1.06301635e-06,1.0714194e-06
200.0,1.06290129e-06,1.07130354e-06
224.403691,1.06279225e-06,1.07119378e-06
251.785082,1.06268689e-06,1.07108777e-06
282.507509,1.06258271e-06,1.070983e-06
316.978638,1.06247691e-06,1.07087665e-06
355.655882,1.06236633e-06,1.07076556e-06
399.052463,1.06224728e-06,1.07064603e-06
447.744228,1.06211539e-06,1.07051366e-06
502.377286,1.06196537e-06,1.07036318e-06
563.676586,1.06179084e-06,1.07018818e-06
632.455532,1.06158391e-06,1.06998076e-06
709.626778,1.06133486e-06,1.06973119e-06
796.214341,1.06103164e-06,1.06942738e-06
893.367184,1.06065924e-06,1.06905431e-06
1002.37447,1.06019895e-06,1.06859326e-06
1124.68265,1.05962745e-06,1.06802085e-06
1261.91469,1.05891564e-06,1.06730796e-06
1415.89157,1.05802725e-06,1.06641824e-06
1588.65647,1.0569171e-06,1.06530649e-06
1782.50188,1.05552907e-06,1.0639165e-06
2000.0,1.05379364e-06,1.06217864e-06
2244.03691,1.05162494e-06,1.06000698e-06
2517.85082,1.04891752e-06,1.05729592e-06
2825.07509,1.04554256e-06,1.05391652e-06
3169.78638,1.04134403e-06,1.0497126e-06
3556.55882,1.03613474e-06,1.04449681e-06
3990.52463,1.02969301e-06,1.03804735e-06
4477.44228,1.02176056e-06,1.03010581e-06
5023.77286,1.01204271e-06,1.02037752e-06
5636.76586,1.00021239e-06,1.00853553e-06
6324.55532,9.85919553e-07,9.94230189e-07
7096.26778,9.68807813e-07,9.77105874e-07
7962.14341,9.48539538e-07,9.56826291e-07
8933.67184,9.24829607e-07,9.33108441e-07
10023.7447,8.97485871e-07,9.05763332e-07
11246.8265,8.66451713e-07,8.74738796e-07
12619.1469,8.3184332e-07,8.40157003e-07
14158.9157,7.9397277e-07,8.02337721e-07
15886.5647,7.53348906e-07,7.61799286e-07
17825.0188,7.10651882e-07,7.1923317e-07
20000.0,6.66683425e-07,6.75454197e-07
