t,v_out
0.0,1.00597403
5e-10,1.00597403
1e-09,1.00597403
2e-09,1.00597403
4e-09,1.00597403
8e-09,1.00597403
1.6e-08,1.00597403
3.2e-08,1.00597403
6.4e-08,1.00597403
1.14e-07,1.00597403
1.64e-07,1.00597403
2.14e-07,1.00597403
2.64e-07,1.00597403
3.14e-07,1.00597403
3.64e-07,1.00597403
4.14e-07,1.00597403
4.64e-07,1.00597403
5.14e-07,1.00597403
5.64e-07,1.00597403
6.14e-07,1.00597403
6.64e-07,1.00597403
7.14e-07,1.00597403
7.64e-07,1.00597403
8.14e-07,1.00597403
8.64e-07,1.00597403
9.14e-07,1.00597403
9.64e-07,1.00597403
1e-06,1.00597403
1.001e-06,1.00597403
1.003e-06,1.00597403
1.007e-06,1.00597403
1.01e-06,1.00597403
1.0108e-06,1.00597403
1.0124e-06,1.00597403
1.0156e-06,1.00597403
1.022e-06,1.00597409
1.0348e-06,1.00597504
1.0604e-06,1.00598922
1.1104e-06,1.00617102
1.1604e-06,1.00676737
1.2104e-06,1.00808229
1.2604e-06,1.01040829
1.3104e-06,1.01398877
1.3604e-06,1.01900136
1.4104e-06,1.02555424
1.4604e-06,1.03369019
1.5104e-06,1.04339467
1.5604e-06,1.05460578
1.6104e-06,1.0672245
1.6604e-06,1.08112447
1.7104e-06,1.09616076
1.7604e-06,1.11217743
1.8104e-06,1.12901387
1.8604e-06,1.14650983
1.9104e-06,1.16450947
1.9604e-06,1.18286428
2.0104e-06,1.20143528
2.0604e-06,1.22009439
2.1104e-06,1.23872532
2.1604e-06,1.25722394
2.2104e-06,1.27549826
2.2604e-06,1.2934682
2.3104e-06,1.31106507
2.3604e-06,1.32823096
2.4104e-06,1.34491802
2.4604e-06,1.36108764
2.5104e-06,1.37670969
2.5604e-06,1.39176165
2.6104e-06,1.40622783
2.6604e-06,1.42009862
2.7104e-06,1.4333697
2.7604e-06,1.44604142
2.8104e-06,1.45811812
2.8604e-06,1.46960754
2.9104e-06,1.48052031
2.9604e-06,1.49086942
3.0104e-06,1.50066983
3.0604e-06,1.50993805
3.1104e-06,1.51869179
3.1604e-06,1.52694968
3.2104e-06,1.53473097
3.2604e-06,1.54205531
3.3104e-06,1.54894255
3.3604e-06,1.55541256
3.4104e-06,1.56148509
3.4604e-06,1.56717965
3.5104e-06,1.57251538
3.5604e-06,1.57751101
3.6104e-06,1.58218473
3.6604e-06,1.58655421
3.7104e-06,1.5906365
3.7604e-06,1.59444802
3.8104e-06,1.59800455
3.8604e-06,1.6013212
3.9104e-06,1.60441241
3.9604e-06,1.60729197
4.0104e-06,1.60997297
4.0604e-06,1.61246788
4.1104e-06,1.61478852
4.1604e-06,1.61694607
4.2104e-06,1.61895112
4.2604e-06,1.62081367
4.3104e-06,1.62254315
4.3604e-06,1.62414843
4.4104e-06,1.62563788
4.4604e-06,1.62701935
4.5104e-06,1.62830023
4.5604e-06,1.62948745
4.6104e-06,1.63058749
4.6604e-06,1.63160643
4.7104e-06,1.63254997
4.7604e-06,1.63342344
4.8104e-06,1.6342318
4.8604e-06,1.63497971
4.9104e-06,1.63567149
4.9604e-06,1.63631121
5.0104e-06,1.63690262
5.0604e-06,1.63744925
5.1104e-06,1.63795436
5.1604e-06,1.63842101
5.2104e-06,1.63885202
5.2604e-06,1.63925004
5.3104e-06,1.63961751
5.3604e-06,1.63995671
5.4104e-06,1.64026974
5.4604e-06,1.64055858
5.5104e-06,1.64082505
5.5604e-06,1.64107082
5.6104e-06,1.64129748
5.6604e-06,1.64150646
5.7104e-06,1.64169912
5.7604e-06,1.6418767
5.8104e-06,1.64204035
5.8604e-06,1.64219115
5.9104e-06,1.64233008
5.9604e-06,1.64245806
6.0104e-06,1.64257593
6.0604e-06,1.64268448
6.1104e-06,1.64278443
6.1604e-06,1.64287644
6.2104e-06,1.64296115
6.2604e-06,1.64303911
6.3104e-06,1.64311086
6.3604e-06,1.64317688
6.4104e-06,1.64323763
6.4604e-06,1.64329351
6.5104e-06,1.64334491
6.5604e-06,1.64339219
6.6104e-06,1.64343567
6.6604e-06,1.64347565
6.7104e-06,1.64351241
6.7604e-06,1.64354621
6.8104e-06,1.64357728
6.8604e-06,1.64360583
6.9104e-06,1.64363208
6.9604e-06,1.6436562
7.0104e-06,1.64367836
7.0604e-06,1.64369872
7.1104e-06,1.64371743
7.1604e-06,1.64373462
7.2104e-06,1.64375041
7.2604e-06,1.64376491
7.3104e-06,1.64377823
7.3604e-06,1.64379046
7.4104e-06,1.64380169
7.4604e-06,1.643812
7.5104e-06,1.64382147
7.5604e-06,1.64383016
7.6104e-06,1.64383814
7.6604e-06,1.64384546
7.7104e-06,1.64385219
7.7604e-06,1.64385836
7.8104e-06,1.64386402
7.8604e-06,1.64386921
7.9104e-06,1.64387398
7.9604e-06,1.64387836
8.0104e-06,1.64388237
8.0604e-06,1.64388605
8.1104e-06,1.64388943
8.1604e-06,1.64389253
8.2104e-06,1.64389537
8.2604e-06,1.64389797
8.3104e-06,1.64390036
8.3604e-06,1.64390256
8.4104e-06,1.64390457
8.4604e-06,1.64390641
8.5104e-06,1.6439081
8.5604e-06,1.64390965
8.6104e-06,1.64391107
8.6604e-06,1.64391237
8.7104e-06,1.64391357
8.7604e-06,1.64391466
8.8104e-06,1.64391566
8.8604e-06,1.64391658
8.9104e-06,1.64391743
8.9604e-06,1.6439182
9.0104e-06,1.64391891
9.0604e-06,1.64391956
9.1104e-06,1.64392015
9.1604e-06,1.64392069
9.2104e-06,1.64392119
9.2604e-06,1.64392165
9.3104e-06,1.64392207
9.3604e-06,1.64392245
9.4104e-06,1.6439228
9.4604e-06,1.64392313
9.5104e-06,1.64392342
9.5604e-06,1.64392369
9.6104e-06,1.64392394
9.6604e-06,1.64392417
9.7104e-06,1.64392437
9.7604e-06,1.64392456
9.8104e-06,1.64392474
9.8604e-06,1.6439249
9.9104e-06,1.64392504
9.9604e-06,1.64392518
1.00104e-05,1.6439253
1.00604e-05,1.64392541
1.01104e-05,1.64392551
1.01604e-05,1.64392561
1.02104e-05,1.64392569
1.02604e-05,1.64392577
1.03104e-05,1.64392585
1.03604e-05,1.64392591
1.04104e-05,1.64392597
1.04604e-05,1.64392603
1.05104e-05,1.64392608
1.05604e-05,1.64392612
1.06104e-05,1.64392617
1.06604e-05,1.64392621
1.07104e-05,1.64392624
1.07604e-05,1.64392627
1.08104e-05,1.6439263
1.08604e-05,1.64392633
1.09104e-05,1.64392636
1.09604e-05,1.64392638
1.10104e-05,1.6439264
1.10604e-05,1.64392642
1.11104e-05,1.64392644
1.11604e-05,1.64392645
1.12104e-05,1.64392647
1.12604e-05,1.64392648
1.13104e-05,1.64392649
1.13604e-05,1.6439265
1.14104e-05,1.64392651
1.14604e-05,1.64392652
1.15104e-05,1.64392653
1.15604e-05,1.64392654
1.16104e-05,1.64392655
1.16604e-05,1.64392655
1.17104e-05,1.64392656
1.17604e-05,1.64392656
1.18104e-05,1.64392657
1.18604e-05,1.64392657
1.19104e-05,1.64392658
1.19604e-05,1.64392658
1.20104e-05,1.64392659
1.20604e-05,1.64392659
1.21104e-05,1.64392659
1.21604e-05,1.64392659
1.22104e-05,1.6439266
1.22604e-05,1.6439266
1.23104e-05,1.6439266
1.23604e-05,1.6439266
1.24104e-05,1.6439266
1.24604e-05,1.64392661
1.25104e-05,1.64392661
1.25604e-05,1.64392661
1.26104e-05,1.64392661
1.26604e-05,1.64392661
1.27104e-05,1.64392661
1.27604e-05,1.64392661
1.28104e-05,1.64392661
1.28604e-05,1.64392661
1.29104e-05,1.64392662
1.29604e-05,1.64392662
1.30104e-05,1.64392662
1.30604e-05,1.64392662
1.31104e-05,1.64392662
1.31604e-05,1.64392662
1.32104e-05,1.64392662
1.32604e-05,1.64392662
1.33104e-05,1.64392662
1.33604e-05,1.64392662
1.34104e-05,1.64392662
1.34604e-05,1.64392662
1.35104e-05,1.64392662
1.35604e-05,1.64392662
1.36104e-05,1.64392662
1.36604e-05,1.64392662
1.37104e-05,1.64392662
1.37604e-05,1.64392662
1.38104e-05,1.64392662
1.38604e-05,1.64392662
1.39104e-05,1.64392662
1.39604e-05,1.64392662
1.40104e-05,1.64392662
1.40604e-05,1.64392662
1.41104e-05,1.64392662
1.41604e-05,1.64392662
1.42104e-05,1.64392662
1.42604e-05,1.64392662
1.43104e-05,1.64392662
1.43604e-05,1.64392662
1.44104e-05,1.64392662
1.44604e-05,1.64392662
1.45104e-05,1.64392662
1.45604e-05,1.64392662
1.46104e-05,1.64392662
1.46604e-05,1.64392662
1.47104e-05,1.64392662
1.47604e-05,1.64392662
1.48104e-05,1.64392662
1.48604e-05,1.64392662
1.49104e-05,1.64392662
1.49604e-05,1.64392662
1.50104e-05,1.64392662
1.50604e-05,1.64392662
1.51104e-05,1.64392662
1.51604e-05,1.64392662
